EZABPQM;Mnémo;Date_Attribution
010730;FRTE;01/01/2017
010731;FRTE;01/01/2017
010732;FRTE;01/01/2017
010745;FRTE;01/01/2017
010746;FRTE;01/01/2017
010747;FRTE;01/01/2017
010748;FRTE;01/01/2017
010749;FRTE;01/01/2017
010750;FRTE;01/01/2017
010751;FRTE;01/01/2017
010756;FRTE;01/01/2017
010866;COMP;07/12/2006
010867;EISS;05/03/2024
010869;TLKC;13/05/2024
010871;CCKS;13/07/2026
010872;SNTW;16/10/2025
010873;6DGR;03/09/2026
010874;PXTL;12/06/2024
010875;FRSP;26/06/2024
010876;ELOQ;02/07/2024
010877;ELOQ;02/07/2024
010878;ELOQ;02/07/2024
010880;FREE;08/01/2009
010881;FREE;08/01/2009
010882;EOLY;18/07/2025
010883;ZETE;14/07/2023
010884;OPTM;05/08/2025
010885;DVTM;31/03/2026
010886;KMPS;30/01/2026
010887;NORN;31/03/2026
010888;FVE9;04/08/2023
010889;IBRO;16/08/2023
010890;EGRP;05/10/2023
010891;WLDX;30/10/2025
010892;FREE;08/03/2000
010893;ONCN;23/01/2023
010895;OVEA;30/01/2023
010896;DIME;30/01/2023
010898;MASS;02/02/2023
010899;NWOT;08/02/2023
010966;COMP;29/03/2007
010967;EWAY;05/09/2023
010968;GRFR;17/11/2025
010970;INOX;29/11/2023
010971;ONCE;12/12/2023
010972;POFN;12/12/2023
010973;RCFR;12/12/2023
010974;DIMI;01/01/2024
010975;VIAD;03/02/2026
010976;RUBT;13/02/2024
010977;MCI;01/01/2018
010978;BICS;18/08/2016
010979;OPEN;02/11/2016
010980;DIDW;18/04/2017
010981;COMP;06/11/2008
010982;AKIN;08/08/2019
010983;ENEO;20/12/2022
010984;BICS;15/01/2025
010985;AWSS;26/12/2022
010986;CMTF;01/01/2023
010987;VOIC;17/01/2025
010988;MCI;01/01/2018
010989;RHOV;25/09/2023
010990;SFR0;11/08/2016
010991;COMP;06/11/2008
010992;CLTL;08/02/2023
010994;VSNL;14/02/2023
010995;COVE;16/02/2023
010996;OPHO;28/02/2023
010997;CLLK;01/03/2023
010999;MCI;01/01/2018
020000;BJTP;25/01/2007
020001;SEWA;15/05/2024
020002;ZEOP;19/05/2011
020003;BRET;20/03/2008
020004;4CNN;24/03/2025
020005;ODIG;01/02/2019
020006;IDOM;09/09/2010
